anio,mes,linea,linea-uri,linea-cdmx,same_as_wikidata_linea,estacion-uri,same_as_wikidata_estaciones,afluencia-media
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Copilco,https://wikidata.org/entity/Q6824550,41819.36666666667
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Coyoacán,https://wikidata.org/entity/Q3366731,24828.633333333335
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Deportivo 18 de Marzo,https://wikidata.org/entity/Q3431319,43313.76666666667
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,División del Norte,https://wikidata.org/entity/Q6824558,21292.366666666665
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Etiopía-Plaza de la Transparencia,https://wikidata.org/entity/Q3429486,31552.266666666666
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Eugenia,https://wikidata.org/entity/Q6824568,18525.8
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Guerrero,https://wikidata.org/entity/Q6824578,13605.833333333334
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Hidalgo,https://wikidata.org/entity/Q2541914,22400.766666666666
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Hospital General,https://wikidata.org/entity/Q6824588,26052.433333333334
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Indios Verdes,https://wikidata.org/entity/Q3431052,124902.73333333334
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Juárez,https://wikidata.org/entity/Q6824601,19022.3
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,La Raza,https://wikidata.org/entity/Q3429492,40402.86666666667
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Miguel Ángel de Quevedo,https://wikidata.org/entity/Q6824630,28130.5
2010,--04,Linea 3,linea-3,Line 3,https://wikidata.org/entity/Q945935,Niños Héroes / Poder Judicial CDMX,https://wikidata.org/entity/Q6824647,16198.033333333333
